threshold,accuracy,precision,recall,f1,tpr,fpr,tp,fp,tn,fn,total
1.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
1.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
2.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
2.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
3.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
3.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
4.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
4.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
5.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
5.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
6.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
6.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
7.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
7.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
8.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
8.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
9.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
9.5,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
10.0,0.4818181818181818,0.4375,0.12727272727272726,0.1971830985915493,0.12727272727272726,0.16363636363636364,7,9,46,48,110
